,endTime,artistName,trackName,msPlayed,UniqueID,In Library,album,track_uri
284,2021-02-27 12:22,Pritam,Bhool Bhulaiyaa,128240,Pritam:Bhool Bhulaiyaa,0,,
285,2021-03-01 11:41,KR$NA,Untitled,276879,KR$NA:Untitled,1,Untitled,2Yrl9A9VQg7QoCxeR9ktnn
286,2021-03-01 11:43,KR$NA,Untitled,100871,KR$NA:Untitled,1,Untitled,2Yrl9A9VQg7QoCxeR9ktnn
287,2021-03-01 11:46,KR$NA,Maharani,211198,KR$NA:Maharani,0,,
288,2021-03-01 18:27,KR$NA,Maharani,102401,KR$NA:Maharani,0,,
289,2021-03-03 15:25,Akhil Sachdeva,Humsafar,140320,Akhil Sachdeva:Humsafar,0,,
290,2021-03-03 15:27,Masked Wolf,Astronaut In The Ocean,110770,Masked Wolf:Astronaut In The Ocean,0,,
291,2021-03-03 15:29,Bella,Astroworld,2480,Bella:Astroworld,0,,
292,2021-03-03 15:29,Bella,Astroworld,1500,Bella:Astroworld,0,,
293,2021-03-03 15:29,Glass Animals,Heat Waves,130890,Glass Animals:Heat Waves,0,,
294,2021-03-03 15:58,Pritam,Bhool Bhulaiyaa,114520,Pritam:Bhool Bhulaiyaa,0,,
295,2021-03-05 10:00,Pritam,Shayad,4959,Pritam:Shayad,0,,
296,2021-03-05 10:00,Pritam,Shayad,247941,Pritam:Shayad,0,,
297,2021-03-05 10:00,Pritam,Kya Mujhe Pyar Hai (Remix),25760,Pritam:Kya Mujhe Pyar Hai (Remix),0,,
298,2021-03-07 18:18,Pritam,In Dino,15550,Pritam:In Dino,0,,
299,2021-03-10 16:00,Calum Scott,You Are The Reason,5924,Calum Scott:You Are The Reason,0,,
300,2021-03-17 06:48,Ayushmann Khurrana,"Pani Da Rang Male (From ""Vicky Donor"")",240786,"Ayushmann Khurrana:Pani Da Rang Male (From ""Vicky Donor"")",0,,
301,2021-03-17 06:53,Vishal Dadlani,"Mar Jayian Romantic (From ""Vicky Donor"")",288960,"Vishal Dadlani:Mar Jayian Romantic (From ""Vicky Donor"")",1,Vicky Donor,73yIZXOY6Th386dlZTZLju
302,2021-03-17 06:57,Mika Singh,Chaddha,230960,Mika Singh:Chaddha,0,,
303,2021-03-17 20:43,KR$NA,Still Here (Intro),28763,KR$NA:Still Here (Intro),0,,
304,2021-03-17 20:44,KR$NA,Fall Off (Interlude),33180,KR$NA:Fall Off (Interlude),0,,
305,2021-03-17 20:44,KR$NA,Dream,43960,KR$NA:Dream,0,,
306,2021-03-17 20:45,KR$NA,Saza-E-Maut,23740,KR$NA:Saza-E-Maut,0,,
307,2021-03-17 20:45,KR$NA,Na Hai Time,11290,KR$NA:Na Hai Time,0,,
308,2021-03-22 18:17,Vilen,Ek Raat,75710,Vilen:Ek Raat,0,,
309,2021-03-22 18:19,Asim Azhar,Ghalat Fehmi,135440,Asim Azhar:Ghalat Fehmi,0,,
310,2021-03-22 18:25,Masked Wolf,Astronaut In The Ocean,1160,Masked Wolf:Astronaut In The Ocean,0,,
311,2021-03-22 18:25,Pritam,Bhool Bhulaiyaa,82070,Pritam:Bhool Bhulaiyaa,0,,
312,2021-03-22 18:26,Pritam,Shayad,5280,Pritam:Shayad,0,,
313,2021-03-22 18:26,Akhil Sachdeva,Humsafar,2330,Akhil Sachdeva:Humsafar,0,,
314,2021-03-22 18:28,Pritam,Kya Mujhe Pyar Hai (Remix),113360,Pritam:Kya Mujhe Pyar Hai (Remix),0,,
315,2021-03-24 07:08,Vilen,Ek Raat,87950,Vilen:Ek Raat,0,,
316,2021-03-30 19:32,Roop Kumar Rathod,Maula Mere Maula,54460,Roop Kumar Rathod:Maula Mere Maula,0,,
317,2021-04-04 19:04,Vilen,Savan,21265,Vilen:Savan,0,,
318,2021-04-05 19:59,Ajey Nagar (CarryMinati),Yalgaar,149306,Ajey Nagar (CarryMinati):Yalgaar,0,,
319,2021-04-05 20:18,Badshah,"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)",31120,"Badshah:Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)",0,,
320,2021-04-06 12:18,Vilen,Savan,900,Vilen:Savan,0,,
321,2021-04-10 11:19,DIVINE,Vibe Hai,144785,DIVINE:Vibe Hai,0,,
322,2021-04-10 11:25,Sickflip,Roshni,157080,Sickflip:Roshni,0,,
323,2021-04-10 11:35,KR$NA,Untitled,151384,KR$NA:Untitled,1,Untitled,2Yrl9A9VQg7QoCxeR9ktnn
324,2021-04-10 11:38,KR$NA,Untitled,151384,KR$NA:Untitled,1,Untitled,2Yrl9A9VQg7QoCxeR9ktnn
325,2021-04-10 11:41,KR$NA,Untitled,151384,KR$NA:Untitled,1,Untitled,2Yrl9A9VQg7QoCxeR9ktnn
326,2021-04-10 11:59,KR$NA,Untitled,114066,KR$NA:Untitled,1,Untitled,2Yrl9A9VQg7QoCxeR9ktnn
327,2021-04-12 09:46,KR$NA,Untitled,151384,KR$NA:Untitled,1,Untitled,2Yrl9A9VQg7QoCxeR9ktnn
